V0	Ø	Time	R
60.99	31.6	5.25	170.99
61.79	39.0	6.19	172.35
81.12	66.9	10.25	180.48
71.18	40.1	6.92	202.94
91.11	35.1	7.21	235.94
74.28	46.8	7.87	200.20
92.21	53.8	9.65	215.78
95.78	49.3	9.27	213.27
91.60	62.8	10.51	186.07
75.03	49.0	8.17	199.76
72.25	52.6	8.45	209.42
62.21	68.1	8.76	106.32
77.25	68.0	10.04	159.99
93.37	39.8	7.97	236.45
95.65	57.9	10.39	247.40
71.07	66.5	9.33	111.05
62.87	36.1	5.94	179.68
76.80	47.5	8.04	186.90
78.39	63.7	9.80	175.13
64.14	65.5	8.73	108.92
77.63	66.8	9.84	119.33
73.92	62.0	9.32	163.89
89.76	41.3	7.99	219.92
63.95	36.4	6.09	194.42
85.61	68.5	10.55	140.30
74.12	41.5	7.36	231.47
71.24	65.9	9.47	163.30
79.15	46.7	8.07	187.70
84.02	46.2	8.47	251.49
97.45	50.0	9.41	205.78
67.63	40.7	6.82	201.36
85.34	49.7	8.90	235.03
85.53	37.3	7.27	223.87
70.41	69.9	9.64	140.41
68.22	36.8	6.27	175.50
75.41	56.4	8.88	169.14
99.68	57.6	10.37	186.25
68.28	69.4	9.42	130.01
61.66	42.5	6.54	163.31
74.73	33.7	6.21	189.69
85.27	36.5	7.21	241.22
75.68	32.6	6.21	220.32
96.58	66.8	11.13	178.63
76.56	68.5	10.03	160.30
87.58	44.0	8.28	230.96
68.49	67.0	9.29	139.97
81.57	59.9	9.69	193.56
99.46	57.1	10.44	234.73
64.65	42.0	6.80	197.22
65.65	68.0	9.01	99.02
62.35	63.7	8.59	148.22
63.67	66.1	8.75	111.17
79.62	39.9	7.44	243.97
64.97	40.9	6.59	173.19
78.75	57.1	9.17	173.08
68.20	56.3	8.32	140.99
98.53	30.6	6.91	281.36
82.63	51.0	8.94	239.47
84.40	39.4	7.49	216.92
71.68	48.7	7.91	187.01
66.27	63.2	8.77	129.83
78.61	54.1	8.92	193.93
74.71	55.7	8.85	190.16
68.31	68.5	9.32	120.63
60.69	33.8	5.51	169.20
76.85	42.0	7.40	190.02
72.20	41.6	7.09	184.14
95.12	43.1	8.47	229.37
93.96	37.1	7.65	250.97
95.62	30.1	6.66	252.96
96.37	59.8	10.60	238.96
63.91	41.5	6.68	194.43
61.01	55.1	7.79	161.54
66.21	62.5	8.76	142.32
87.07	47.1	8.60	214.49
65.24	31.2	5.48	189.96
97.10	45.5	9.01	272.12
62.96	41.8	6.51	156.94
79.51	59.5	9.46	174.03
84.07	44.6	8.22	235.78
94.19	34.0	7.16	236.78
73.46	40.0	6.98	190.04
68.22	59.7	8.72	159.46
89.15	47.4	8.74	217.44
60.57	43.8	6.59	157.43
72.65	39.7	7.03	224.60
63.42	53.8	7.92	181.17
99.05	33.4	7.29	253.56
80.16	67.1	10.13	153.32
68.69	60.9	8.75	131.85
97.55	32.3	7.00	234.69
85.70	65.7	10.29	132.48
66.43	35.1	5.95	171.37
84.88	63.4	10.14	168.64
80.11	64.1	9.98	187.54
99.47	64.6	10.99	146.64
91.44	53.8	9.74	252.62
72.48	43.5	7.31	177.33
82.83	62.6	10.05	203.52
87.55	35.3	7.12	238.25
89.09	68.4	10.70	118.50
62.70	59.5	8.26	146.54
69.75	50.7	7.92	164.38
62.35	42.5	6.58	163.80
70.95	59.0	8.91	178.70
86.81	41.2	7.92	245.57
67.86	36.9	6.26	174.55
78.86	64.3	9.84	163.21
98.09	41.9	8.57	277.38
61.57	45.5	6.91	173.73
83.54	66.2	10.24	143.12
97.22	34.0	7.39	277.56
85.97	60.4	9.88	159.88
98.75	60.3	10.67	203.78
62.66	54.7	7.90	169.71
90.97	64.8	10.62	166.77
78.88	35.8	6.83	235.49
73.69	43.6	7.47	202.71
62.53	56.4	7.98	151.39
72.10	33.2	6.02	187.29
75.13	42.2	7.47	227.65
61.90	66.0	8.56	100.53
93.03	49.0	9.18	236.32
94.11	51.7	9.56	233.82
78.11	55.5	9.09	206.37
98.08	36.8	7.84	279.80
93.14	30.7	6.70	263.35
76.24	43.6	7.70	229.17
86.42	65.9	10.49	178.07
82.43	57.8	9.47	175.39
69.95	39.6	6.73	183.52
66.31	56.0	8.20	150.71
85.38	54.5	9.41	217.41
79.35	56.6	9.28	208.16
81.70	53.9	8.99	171.37
88.97	45.3	8.49	223.65
92.54	40.5	8.07	247.90
86.12	34.0	6.89	242.01
74.76	54.8	8.76	189.71
99.32	40.6	8.32	237.30
78.28	33.6	6.39	201.05
72.90	37.8	6.81	228.05
91.47	62.7	10.53	198.35
87.63	68.8	10.74	154.53
80.06	32.4	6.43	242.85
66.35	41.4	6.75	179.88
94.18	39.3	7.91	230.58
78.93	50.7	8.56	196.95
83.89	67.2	10.37	152.01
71.40	34.3	6.23	212.17
86.03	39.1	7.58	239.11
68.46	69.2	9.39	121.24
64.13	49.6	7.54	182.12
80.96	50.8	8.72	205.80
97.87	31.3	6.92	254.70
83.47	53.5	9.14	201.53
86.59	44.5	8.35	247.50
74.61	69.2	9.89	138.80
78.16	43.1	7.76	237.89
91.02	64.2	10.56	164.69
97.97	36.2	7.64	245.17
67.77	46.8	7.39	166.36
96.20	55.7	10.13	238.02
78.36	33.8	6.41	195.55
75.54	46.9	7.95	199.32
60.03	69.6	8.61	84.19
93.27	58.2	10.17	202.37
77.69	37.2	6.84	196.71
77.20	64.9	9.73	144.40
94.45	40.9	8.13	223.73
61.48	54.4	7.73	153.21
68.27	56.1	8.43	172.59
60.49	45.8	6.92	183.66
87.99	35.1	7.17	260.90
73.08	30.9	5.83	209.26
61.21	42.7	6.64	187.79
64.41	47.5	7.22	154.85
72.89	33.6	6.12	190.44
83.16	60.8	9.91	207.09
92.69	62.4	10.59	205.93
86.48	30.9	6.41	228.98
87.62	35.2	7.19	264.15
